Latitude (decimal degrees):	36.984
Longitude (decimal degrees):	-6.432
Elevation (m):	1
Radiation database:	PVGIS-SARAH


Slope: - deg. 
Azimuth: - deg. 
time,G(i),H_sun,T2m,WS10m,Int
20090906:1109,1026.65,55.2,28.31,5.87,0.0
20090906:1209,1034.8,59.38,29.37,6.0,0.0
20090906:1309,1039.26,57.77,29.5,5.9,0.0
20090906:1409,1012.31,51.11,29.62,5.8,0.0
20090906:1509,975.54,41.48,29.75,5.7,0.0
20090906:1609,900.23,30.39,29.02,5.43,0.0
20090906:1709,776.65,18.64,28.29,5.16,0.0
20090906:1809,325.06,6.67,27.56,4.9,0.0
20090906:1909,0.0,0.0,26.97,4.69,0.0
20090906:2009,0.0,0.0,26.38,4.49,0.0
20090906:2109,0.0,0.0,25.79,4.29,0.0
20090906:2209,0.0,0.0,25.4,4.32,0.0
20090906:2309,0.0,0.0,25.01,4.35,0.0
20090907:0009,0.0,0.0,24.62,4.39,0.0
20090907:0109,0.0,0.0,24.38,4.57,0.0
20090907:0209,0.0,0.0,24.14,4.75,0.0
20090907:0309,0.0,0.0,23.89,4.94,0.0
20090907:0409,0.0,0.0,23.77,4.9,0.0
20090907:0509,0.0,0.0,23.65,4.86,0.0
20090907:0609,0.0,1.02,23.52,4.81,1.0
20090907:0709,513.88,12.98,24.64,5.3,0.0
20090907:0809,771.07,24.87,25.75,5.79,0.0
20090907:0909,884.65,36.31,26.87,6.28,0.0
20090907:1009,930.91,46.7,27.93,6.75,0.0
20090907:1109,1019.49,54.91,28.99,7.22,0.0
20090907:1209,1041.79,59.02,30.05,7.7,0.0
20090907:1309,1045.63,57.39,30.13,7.65,0.0
20090907:1409,1005.49,50.75,30.2,7.6,0.0
20090907:1509,960.02,41.15,30.28,7.54,0.0
20090907:1609,873.63,30.09,29.37,7.26,0.0
20090907:1709,711.0,18.34,28.46,6.97,0.0
20090907:1809,293.08,6.38,27.54,6.69,0.0
20090907:1909,0.0,0.0,26.81,6.54,0.0
20090907:2009,0.0,0.0,26.07,6.4,0.0
20090907:2109,0.0,0.0,25.34,6.25,0.0
20090907:2209,0.0,0.0,25.14,6.29,0.0
20090907:2309,0.0,0.0,24.93,6.33,0.0
20090908:0009,0.0,0.0,24.73,6.37,0.0
20090908:0109,0.0,0.0,24.35,6.21,0.0
20090908:0209,0.0,0.0,23.97,6.05,0.0
20090908:0309,0.0,0.0,23.58,5.89,0.0
20090908:0409,0.0,0.0,23.42,5.84,0.0
20090908:0509,0.0,0.0,23.26,5.79,0.0
20090908:0609,0.0,0.87,23.09,5.74,1.0
20090908:0709,555.71,12.83,24.22,6.18,0.0
20090908:0809,820.61,24.71,25.35,6.62,0.0
20090908:0909,931.44,36.12,26.48,7.06,0.0
20090908:1009,987.4,46.47,27.59,7.16,0.0
20090908:1109,1032.56,54.61,28.7,7.26,0.0
20090908:1209,1047.75,58.65,29.81,7.37,0.0
20090908:1309,1045.38,57.01,29.83,7.14,0.0
20090908:1409,1011.86,50.39,29.85,6.91,0.0
20090908:1509,995.26,40.82,29.87,6.69,0.0
20090908:1609,820.89,29.78,28.87,6.18,0.0
20090908:1709,382.04,18.05,27.88,5.67,0.0
20090908:1809,159.01,6.08,26.88,5.16,0.0
20090908:1909,0.0,0.0,26.12,4.85,0.0
20090908:2009,0.0,0.0,25.37,4.53,0.0
20090908:2109,0.0,0.0,24.61,4.22,0.0
20090908:2209,0.0,0.0,24.25,3.9,0.0
20090908:2309,0.0,0.0,23.9,3.59,0.0
20090909:0009,0.0,0.0,23.54,3.27,0.0
20090909:0109,0.0,0.0,23.29,3.24,0.0
20090909:0209,0.0,0.0,23.04,3.2,0.0
20090909:0309,0.0,0.0,22.79,3.17,0.0
20090909:0409,0.0,0.0,22.56,3.14,0.0
20090909:0509,0.0,0.0,22.32,3.1,0.0
20090909:0609,0.0,0.71,22.08,3.06,1.0
20090909:0709,528.61,12.68,23.18,3.97,0.0
20090909:0809,843.1,24.54,24.28,4.88,0.0
20090909:0909,946.02,35.93,25.38,5.79,0.0
20090909:1009,999.99,46.24,26.45,5.89,0.0
20090909:1109,1032.68,54.31,27.52,5.99,0.0
20090909:1209,1047.17,58.28,28.59,6.08,0.0
20090909:1309,1045.27,56.62,28.68,5.96,0.0
20090909:1409,968.6,50.03,28.76,5.84,1.0
20090909:1509,950.72,40.49,28.84,5.72,0.0
20090909:1609,868.53,29.47,27.97,5.3,0.0
20090909:1709,691.14,17.75,27.11,4.88,0.0
20090909:1809,407.62,5.79,26.24,4.46,0.0
20090909:1909,0.0,0.0,25.62,4.14,0.0
20090909:2009,0.0,0.0,25.01,3.82,0.0
20090909:2109,0.0,0.0,24.39,3.5,0.0
20090909:2209,0.0,0.0,23.99,3.4,0.0
20090909:2309,0.0,0.0,23.6,3.3,0.0
20090910:0009,0.0,0.0,23.2,3.2,0.0
20090910:0109,0.0,0.0,22.94,3.04,0.0
20090910:0209,0.0,0.0,22.68,2.89,0.0
20090910:0309,0.0,0.0,22.42,2.73,0.0
20090910:0409,0.0,0.0,22.21,2.69,0.0
20090910:0509,0.0,0.0,22.0,2.64,0.0
20090910:0609,0.0,0.56,21.79,2.59,1.0
20090910:0709,294.65,12.52,22.94,3.42,0.0
20090910:0809,63.4,24.38,24.08,4.25,0.0
20090910:0909,78.27,35.74,25.22,5.08,0.0
20090910:1009,639.14,46.0,26.27,5.4,0.0
20090910:1109,770.59,54.01,27.33,5.72,0.0
20090910:1209,925.57,57.91,28.38,6.04,0.0
20090910:1309,981.67,56.23,28.53,5.7,0.0
20090910:1409,997.02,49.66,28.67,5.35,0.0
20090910:1509,1043.65,40.16,28.81,5.01,0.0
20090910:1609,882.8,29.15,27.86,4.32,0.0
20090910:1709,600.02,17.45,26.92,3.63,0.0
20090910:1809,167.83,5.49,25.97,2.94,0.0
20090910:1909,0.0,0.0,25.34,2.62,0.0
20090910:2009,0.0,0.0,24.7,2.29,0.0
20090910:2109,0.0,0.0,24.07,1.97,0.0
20090910:2209,0.0,0.0,23.84,2.11,0.0
20090910:2309,0.0,0.0,23.62,2.24,0.0
20090911:0009,0.0,0.0,23.39,2.37,0.0
20090911:0109,0.0,0.0,23.01,2.41,0.0
20090911:0209,0.0,0.0,22.63,2.45,0.0
20090911:0309,0.0,0.0,22.24,2.48,0.0
20090911:0409,0.0,0.0,21.99,2.44,0.0
20090911:0509,0.0,0.0,21.73,2.39,0.0
20090911:0609,0.0,0.4,21.47,2.34,1.0
20090911:0709,290.69,12.37,22.82,2.56,0.0
20090911:0809,633.96,24.22,24.17,2.78,0.0
20090911:0909,515.94,35.55,25.52,2.99,0.0
20090911:1009,713.32,45.76,26.62,3.63,0.0
20090911:1109,636.48,53.7,27.72,4.27,0.0
20090911:1209,945.97,57.54,28.81,4.91,0.0
20090911:1309,597.5,55.84,28.85,5.15,0.0
20090911:1409,594.85,49.3,28.88,5.39,0.0
20090911:1509,916.4,39.82,28.92,5.63,0.0
20090911:1609,971.44,28.84,27.96,4.91,0.0
20090911:1709,717.2,17.14,27.01,4.2,0.0
20090911:1809,374.92,5.19,26.05,3.49,0.0
20090911:1909,0.0,0.0,25.3,2.97,0.0
20090911:2009,0.0,0.0,24.56,2.44,0.0
20090911:2109,0.0,0.0,23.81,1.92,0.0
20090911:2209,0.0,0.0,23.47,2.05,0.0
20090911:2309,0.0,0.0,23.12,2.17,0.0
20090912:0009,0.0,0.0,22.78,2.3,0.0
20090912:0109,0.0,0.0,22.5,2.18,0.0
20090912:0209,0.0,0.0,22.21,2.06,0.0
20090912:0309,0.0,0.0,21.92,1.93,0.0
20090912:0409,0.0,0.0,21.59,1.93,0.0
20090912:0509,0.0,0.0,21.26,1.93,0.0
20090912:0609,0.0,0.25,20.93,1.93,1.0
20090912:0709,572.51,12.22,22.1,1.89,0.0
20090912:0809,831.77,24.05,23.27,1.85,0.0
20090912:0909,927.99,35.36,24.44,1.81,0.0
20090912:1009,992.87,45.52,25.42,1.92,0.0
20090912:1109,1026.08,53.39,26.41,2.03,0.0
20090912:1209,1034.67,57.17,27.39,2.14,0.0
20090912:1309,1056.49,55.45,27.52,1.85,0.0
20090912:1409,1022.81,48.93,27.64,1.57,0.0
20090912:1509,976.12,39.48,27.77,1.28,0.0
20090912:1609,836.46,28.52,26.89,1.25,0.0
20090912:1709,701.1,16.84,26.01,1.21,0.0
20090912:1809,179.17,4.88,25.13,1.17,0.0
20090912:1909,0.0,0.0,24.58,1.19,0.0
20090912:2009,0.0,0.0,24.04,1.21,0.0
20090912:2109,0.0,0.0,23.49,1.23,0.0
20090912:2209,0.0,0.0,23.37,1.12,0.0
20090912:2309,0.0,0.0,23.26,1.02,0.0
20090913:0009,0.0,0.0,23.14,0.91,0.0
20090913:0109,0.0,0.0,22.89,1.0,0.0
20090913:0209,0.0,0.0,22.63,1.09,0.0
20090913:0309,0.0,0.0,22.37,1.19,0.0
20090913:0409,0.0,0.0,21.96,1.4,0.0
20090913:0509,0.0,0.0,21.54,1.62,0.0
20090913:0609,0.0,0.09,21.12,1.83,1.0
20090913:0709,383.92,12.06,22.09,1.83,0.0
20090913:0809,681.68,23.88,23.06,1.83,0.0
20090913:0909,943.25,35.16,24.03,1.82,0.0
20090913:1009,688.0,45.28,24.97,1.25,0.0
20090913:1109,910.57,53.08,25.91,0.68,0.0
20090913:1209,1041.09,56.8,26.84,0.11,0.0
20090913:1309,1032.22,55.06,26.94,0.74,0.0
20090913:1409,1021.65,48.56,27.04,1.36,0.0
20090913:1509,967.57,39.14,27.14,1.99,0.0
20090913:1609,875.4,28.2,26.23,1.84,0.0
20090913:1709,679.59,16.53,25.33,1.7,0.0
20090913:1809,45.58,4.58,24.42,1.56,0.0
20090913:1909,0.0,0.0,23.88,1.23,0.0
20090913:2009,0.0,0.0,23.34,0.9,0.0
20090913:2109,0.0,0.0,22.8,0.57,0.0
20090913:2209,0.0,0.0,22.52,0.82,0.0
20090913:2309,0.0,0.0,22.24,1.08,0.0
20090914:0009,0.0,0.0,21.96,1.34,0.0
20090914:0109,0.0,0.0,21.51,1.34,0.0
20090914:0209,0.0,0.0,21.06,1.35,0.0
20090914:0309,0.0,0.0,20.6,1.35,0.0
20090914:0409,0.0,0.0,20.32,1.44,0.0
20090914:0509,0.0,0.0,20.03,1.53,0.0
20090914:0609,0.0,0.0,19.74,1.61,0.0
20090914:0709,464.28,11.91,20.53,2.08,0.0
20090914:0809,836.18,23.71,21.32,2.54,0.0
20090914:0909,902.95,34.97,22.11,3.01,0.0
20090914:1009,918.77,45.03,22.66,3.02,0.0
20090914:1109,802.01,52.77,23.22,3.03,0.0
20090914:1209,1016.48,56.42,23.77,3.05,0.0
20090914:1309,1006.9,54.67,24.14,3.19,0.0
20090914:1409,1021.95,48.19,24.5,3.33,0.0
20090914:1509,973.44,38.8,24.87,3.48,0.0
20090914:1609,855.46,27.88,24.09,3.46,0.0
20090914:1709,689.44,16.22,23.31,3.45,0.0
20090914:1809,273.24,4.28,22.52,3.43,0.0
20090914:1909,0.0,0.0,22.04,2.91,0.0
20090914:2009,0.0,0.0,21.57,2.38,0.0
20090914:2109,0.0,0.0,21.09,1.85,0.0
20090914:2209,0.0,0.0,20.91,1.85,0.0
20090914:2309,0.0,0.0,20.73,1.85,0.0
20090915:0009,0.0,0.0,20.55,1.85,0.0
20090915:0109,0.0,0.0,20.27,1.78,0.0
20090915:0209,0.0,0.0,19.99,1.72,0.0
20090915:0309,0.0,0.0,19.71,1.66,0.0
20090915:0409,0.0,0.0,19.38,1.75,0.0
20090915:0509,0.0,0.0,19.05,1.85,0.0
20090915:0609,0.0,0.0,18.72,1.94,0.0
20090915:0709,551.91,11.75,19.62,2.39,0.0
20090915:0809,220.78,23.54,20.51,2.84,0.0
20090915:0909,279.0,34.77,21.41,3.28,0.0
20090915:1009,519.08,44.79,22.21,3.51,0.0
20090915:1109,692.23,52.45,23.02,3.74,0.0
20090915:1209,790.93,56.04,23.82,3.97,0.0
20090915:1309,993.03,54.27,23.99,4.4,0.0
20090915:1409,972.64,47.82,24.15,4.84,0.0
20090915:1509,971.98,38.46,24.31,5.27,0.0
20090915:1609,826.57,27.56,23.42,5.22,0.0
20090915:1709,589.8,15.92,22.53,5.17,0.0
20090915:1809,83.32,3.97,21.64,5.12,0.0
20090915:1909,0.0,0.0,21.13,4.76,0.0
20090915:2009,0.0,0.0,20.61,4.4,0.0
20090915:2109,0.0,0.0,20.1,4.04,0.0
20090915:2209,0.0,0.0,19.99,3.94,0.0
20090915:2309,0.0,0.0,19.88,3.84,0.0
20090916:0009,0.0,0.0,19.77,3.74,0.0
20090916:0109,0.0,0.0,19.74,3.43,0.0
20090916:0209,0.0,0.0,19.71,3.13,0.0
20090916:0309,0.0,0.0,19.68,2.83,0.0
20090916:0409,0.0,0.0,19.45,2.92,0.0
20090916:0509,0.0,0.0,19.21,3.02,0.0
20090916:0609,0.0,0.0,18.97,3.12,0.0
20090916:0709,144.76,11.59,19.9,3.81,0.0
20090916:0809,600.62,23.37,20.83,4.5,0.0
20090916:0909,741.99,34.57,21.76,5.19,0.0
20090916:1009,761.7,44.54,22.51,5.47,0.0
20090916:1109,901.03,52.14,23.26,5.76,0.0
20090916:1209,1028.62,55.67,24.01,6.04,0.0
20090916:1309,1031.19,53.88,24.35,6.13,0.0
20090916:1409,1020.03,47.44,24.68,6.23,0.0
20090916:1509,970.55,38.11,25.02,6.32,0.0
20090916:1609,874.34,27.24,24.13,6.27,0.0
20090916:1709,693.93,15.61,23.25,6.22,0.0
20090916:1809,123.29,3.66,22.36,6.17,0.0
20090916:1909,0.0,0.0,21.93,5.78,0.0
20090916:2009,0.0,0.0,21.51,5.4,0.0
20090916:2109,0.0,0.0,21.08,5.02,0.0
20090916:2209,0.0,0.0,20.9,4.67,0.0
20090916:2309,0.0,0.0,20.73,4.32,0.0
20090917:0009,0.0,0.0,20.55,3.97,0.0
20090917:0109,0.0,0.0,20.23,3.68,0.0
20090917:0209,0.0,0.0,19.91,3.38,0.0
20090917:0309,0.0,0.0,19.58,3.09,0.0
20090917:0409,0.0,0.0,19.13,3.17,0.0
20090917:0509,0.0,0.0,18.68,3.25,0.0
20090917:0609,0.0,0.0,18.23,3.32,0.0
20090917:0709,540.93,11.43,19.06,3.92,0.0
20090917:0809,754.44,23.2,19.88,4.51,0.0
20090917:0909,924.09,34.36,20.71,5.1,0.0
20090917:1009,954.09,44.28,21.54,5.48,0.0
20090917:1109,1011.63,51.82,22.38,5.86,0.0
20090917:1209,1009.26,55.29,23.21,6.23,0.0
20090917:1309,992.65,53.48,23.45,6.63,0.0
20090917:1409,1026.09,47.07,23.68,7.03,0.0
20090917:1509,976.83,37.77,23.91,7.42,0.0
20090917:1609,880.2,26.92,23.22,6.94,0.0
20090917:1709,704.87,15.3,22.53,6.46,0.0
20090917:1809,110.78,3.36,21.84,5.99,0.0
20090917:1909,0.0,0.0,21.39,5.37,0.0
20090917:2009,0.0,0.0,20.95,4.76,0.0
20090917:2109,0.0,0.0,20.5,4.15,0.0
20090917:2209,0.0,0.0,20.32,3.92,0.0
20090917:2309,0.0,0.0,20.15,3.68,0.0
20090918:0009,0.0,0.0,19.97,3.45,0.0
20090918:0109,0.0,0.0,19.64,3.06,0.0
20090918:0209,0.0,0.0,19.31,2.68,0.0
20090918:0309,0.0,0.0,18.98,2.29,0.0
20090918:0409,0.0,0.0,18.75,2.1,0.0
20090918:0509,0.0,0.0,18.52,1.91,0.0
20090918:0609,0.0,0.0,18.28,1.72,0.0
20090918:0709,55.37,11.27,19.24,2.41,0.0
20090918:0809,820.39,23.02,20.2,3.09,0.0
20090918:0909,765.16,34.16,21.16,3.78,0.0
20090918:1009,877.63,44.03,21.82,4.16,0.0
20090918:1109,827.34,51.5,22.48,4.53,0.0
20090918:1209,600.04,54.91,23.13,4.91,0.0
20090918:1309,1043.7,53.08,23.24,5.2,0.0
20090918:1409,969.88,46.69,23.34,5.48,0.0
20090918:1509,872.69,37.42,23.45,5.77,0.0
20090918:1609,917.67,26.59,22.82,5.55,0.0
20090918:1709,699.24,14.98,22.2,5.34,0.0
20090918:1809,95.43,3.05,21.57,5.13,0.0
20090918:1909,0.0,0.0,21.19,4.35,0.0
20090918:2009,0.0,0.0,20.81,3.58,0.0
20090918:2109,0.0,0.0,20.43,2.8,0.0
20090918:2209,0.0,0.0,20.18,2.55,0.0
20090918:2309,0.0,0.0,19.94,2.29,0.0
20090919:0009,0.0,0.0,19.69,2.04,0.0
20090919:0109,0.0,0.0,19.29,2.08,0.0
20090919:0209,0.0,0.0,18.89,2.12,0.0
20090919:0309,0.0,0.0,18.48,2.17,0.0
20090919:0409,0.0,0.0,18.07,2.19,0.0
20090919:0509,0.0,0.0,17.66,2.22,0.0
20090919:0609,0.0,0.0,17.24,2.25,0.0
20090919:0709,540.35,11.11,18.09,2.15,0.0
20090919:0809,827.28,22.85,18.94,2.06,0.0
20090919:0909,920.94,33.95,19.79,1.96,0.0
20090919:1009,695.24,43.77,20.78,2.21,0.0
20090919:1109,998.11,51.17,21.77,2.46,0.0
20090919:1209,1014.64,54.52,22.76,2.72,0.0
20090919:1309,1030.51,52.68,23.25,3.01,0.0
20090919:1409,400.31,46.32,23.73,3.31,0.0
20090919:1509,138.62,37.07,24.22,3.6,0.0
20090919:1609,690.59,26.27,23.56,3.2,0.0
20090919:1709,336.1,14.67,22.91,2.79,0.0
20090919:1809,102.41,2.74,22.25,2.39,0.0
20090919:1909,0.0,0.0,21.88,2.41,0.0
20090919:2009,0.0,0.0,21.5,2.43,0.0
20090919:2109,0.0,0.0,21.13,2.46,0.0
20090919:2209,0.0,0.0,21.03,2.36,0.0
20090919:2309,0.0,0.0,20.93,2.27,0.0
20090920:0009,0.0,0.0,20.83,2.18,0.0
20090920:0109,0.0,0.0,20.65,2.14,0.0
20090920:0209,0.0,0.0,20.47,2.11,0.0
20090920:0309,0.0,0.0,20.29,2.07,0.0
20090920:0409,0.0,0.0,19.97,2.05,0.0
20090920:0509,0.0,0.0,19.65,2.03,0.0
20090920:0609,0.0,0.0,19.32,2.01,0.0
20090920:0709,628.9,10.95,20.28,2.11,0.0
20090920:0809,316.87,22.67,21.24,2.2,0.0
20090920:0909,249.46,33.74,22.2,2.29,0.0
20090920:1009,524.11,43.51,23.33,2.25,0.0
20090920:1109,1004.05,50.85,24.46,2.21,0.0
20090920:1209,1014.38,54.14,25.59,2.17,0.0
20090920:1309,1043.21,52.29,25.78,2.23,0.0
20090920:1409,1010.59,45.94,25.96,2.29,0.0
20090920:1509,973.09,36.73,26.15,2.34,0.0
20090920:1609,879.34,25.94,25.31,2.27,0.0
20090920:1709,676.92,14.36,24.48,2.19,0.0
20090920:1809,33.87,2.43,23.64,2.11,0.0
20090920:1909,0.0,0.0,23.1,2.17,0.0
20090920:2009,0.0,0.0,22.55,2.22,0.0
20090920:2109,0.0,0.0,22.01,2.28,0.0
20090920:2209,0.0,0.0,21.84,2.41,0.0
20090920:2309,0.0,0.0,21.68,2.54,0.0
20090921:0009,0.0,0.0,21.51,2.68,0.0
20090921:0109,0.0,0.0,21.08,2.63,0.0
20090921:0209,0.0,0.0,20.65,2.58,0.0
20090921:0309,0.0,0.0,20.22,2.54,0.0
20090921:0409,0.0,0.0,19.87,2.59,0.0
20090921:0509,0.0,0.0,19.51,2.64,0.0
20090921:0609,0.0,0.0,19.15,2.69,0.0
20090921:0709,533.44,10.78,20.34,2.31,0.0
20090921:0809,814.77,22.49,21.52,1.93,0.0
20090921:0909,936.15,33.53,22.71,1.54,0.0
20090921:1009,995.16,43.25,23.94,1.66,0.0
20090921:1109,1024.29,50.52,25.18,1.77,0.0
20090921:1209,1033.88,53.76,26.41,1.88,0.0
20090921:1309,996.38,51.89,26.6,1.9,0.0
20090921:1409,1037.33,45.56,26.78,1.92,0.0
20090921:1509,1000.71,36.38,26.97,1.94,0.0
20090921:1609,893.02,25.62,26.05,2.02,0.0
20090921:1709,652.3,14.05,25.13,2.1,0.0
20090921:1809,6.13,2.13,24.21,2.18,0.0
20090921:1909,0.0,0.0,23.68,2.48,0.0
20090921:2009,0.0,0.0,23.14,2.79,0.0
20090921:2109,0.0,0.0,22.61,3.09,0.0
20090921:2209,0.0,0.0,22.36,2.9,0.0
20090921:2309,0.0,0.0,22.11,2.7,0.0
20090922:0009,0.0,0.0,21.86,2.51,0.0
20090922:0109,0.0,0.0,21.57,2.43,0.0
20090922:0209,0.0,0.0,21.28,2.34,0.0
20090922:0309,0.0,0.0,20.98,2.26,0.0
20090922:0409,0.0,0.0,20.56,2.23,0.0
20090922:0509,0.0,0.0,20.14,2.21,0.0
20090922:0609,0.0,0.0,19.72,2.18,0.0
20090922:0709,526.59,10.62,20.79,2.48,0.0
20090922:0809,804.36,22.31,21.86,2.79,0.0
20090922:0909,926.96,33.32,22.93,3.09,0.0
20090922:1009,972.98,42.99,24.11,3.56,0.0
20090922:1109,983.45,50.2,25.29,4.04,0.0
20090922:1209,1007.73,53.37,26.46,4.51,0.0
20090922:1309,1041.67,51.49,26.64,4.32,0.0
20090922:1409,1016.32,45.18,26.82,4.13,0.0
20090922:1509,882.02,36.03,27.0,3.94,0.0
20090922:1609,846.56,25.29,26.16,3.22,0.0
20090922:1709,636.76,13.74,25.32,2.49,0.0
20090922:1809,0.0,1.82,24.48,1.77,1.0
20090922:1909,0.0,0.0,23.94,2.06,0.0
20090922:2009,0.0,0.0,23.41,2.34,0.0
20090922:2109,0.0,0.0,22.87,2.63,0.0
20090922:2209,0.0,0.0,22.52,2.57,0.0
20090922:2309,0.0,0.0,22.16,2.51,0.0
20090923:0009,0.0,0.0,21.81,2.46,0.0
20090923:0109,0.0,0.0,21.44,2.4,0.0
20090923:0209,0.0,0.0,21.07,2.34,0.0
20090923:0309,0.0,0.0,20.7,2.28,0.0
20090923:0409,0.0,0.0,20.33,2.22,0.0
20090923:0509,0.0,0.0,19.96,2.16,0.0
20090923:0609,0.0,0.0,19.58,2.1,0.0
20090923:0709,521.8,10.45,20.86,2.34,0.0
20090923:0809,801.44,22.12,22.13,2.59,0.0
20090923:0909,926.13,33.1,23.4,2.84,0.0
20090923:1009,987.49,42.72,24.66,3.41,0.0
20090923:1109,1009.98,49.87,25.92,3.98,0.0
20090923:1209,1026.52,52.99,27.18,4.55,0.0
20090923:1309,1048.48,51.09,27.38,4.15,0.0
20090923:1409,1015.54,44.8,27.57,3.74,0.0
20090923:1509,928.18,35.68,27.77,3.34,0.0
20090923:1609,624.7,24.96,27.05,2.97,0.0
20090923:1709,423.11,13.42,26.33,2.61,0.0
20090923:1809,0.0,1.51,25.6,2.25,1.0
20090923:1909,0.0,0.0,24.95,2.26,0.0
20090923:2009,0.0,0.0,24.31,2.27,0.0
20090923:2109,0.0,0.0,23.66,2.28,0.0
20090923:2209,0.0,0.0,23.16,2.27,0.0
20090923:2309,0.0,0.0,22.65,2.26,0.0
20090924:0009,0.0,0.0,22.15,2.25,0.0
20090924:0109,0.0,0.0,21.72,2.31,0.0
20090924:0209,0.0,0.0,21.28,2.37,0.0
20090924:0309,0.0,0.0,20.84,2.43,0.0
20090924:0409,0.0,0.0,20.54,2.47,0.0
20090924:0509,0.0,0.0,20.24,2.52,0.0
20090924:0609,0.0,0.0,19.93,2.57,0.0
20090924:0709,538.07,10.29,21.05,3.28,0.0
20090924:0809,840.95,21.94,22.17,4.0,0.0
20090924:0909,947.67,32.88,23.29,4.72,0.0
20090924:1009,1000.93,42.45,24.46,4.84,0.0
20090924:1109,1022.9,49.53,25.63,4.96,0.0
20090924:1209,1045.15,52.6,26.8,5.08,0.0
20090924:1309,1008.89,50.69,26.92,5.0,0.0
20090924:1409,985.71,44.43,27.03,4.93,0.0
20090924:1509,965.38,35.33,27.14,4.86,0.0
20090924:1609,857.2,24.64,26.24,4.29,0.0
20090924:1709,638.37,13.11,25.34,3.72,0.0
20090924:1809,0.0,1.21,24.44,3.16,1.0
20090924:1909,0.0,0.0,23.85,2.76,0.0
20090924:2009,0.0,0.0,23.25,2.37,0.0
20090924:2109,0.0,0.0,22.66,1.97,0.0
20090924:2209,0.0,0.0,22.3,2.06,0.0
20090924:2309,0.0,0.0,21.93,2.15,0.0
20090925:0009,0.0,0.0,21.57,2.23,0.0
20090925:0109,0.0,0.0,21.25,2.1,0.0
20090925:0209,0.0,0.0,20.92,1.97,0.0
20090925:0309,0.0,0.0,20.59,1.83,0.0
20090925:0409,0.0,0.0,20.25,1.85,0.0
20090925:0509,0.0,0.0,19.9,1.86,0.0
20090925:0609,0.0,0.0,19.55,1.88,0.0
20090925:0709,275.7,10.12,20.69,2.4,0.0
20090925:0809,745.22,21.75,21.83,2.91,0.0
20090925:0909,831.99,32.67,22.97,3.43,0.0
20090925:1009,971.58,42.18,24.15,3.68,0.0
20090925:1109,966.93,49.2,25.34,3.92,0.0
20090925:1209,985.35,52.22,26.52,4.17,0.0
20090925:1309,1027.89,50.29,26.5,3.86,0.0
20090925:1409,984.6,44.05,26.47,3.56,0.0
20090925:1509,931.76,34.98,26.45,3.26,0.0
20090925:1609,827.84,24.31,25.84,2.79,0.0
20090925:1709,588.35,12.8,25.24,2.33,0.0
20090925:1809,0.0,0.9,24.63,1.86,1.0
20090925:1909,0.0,0.0,23.99,1.96,0.0
20090925:2009,0.0,0.0,23.34,2.06,0.0
20090925:2109,0.0,0.0,22.7,2.15,0.0
20090925:2209,0.0,0.0,22.42,2.15,0.0
20090925:2309,0.0,0.0,22.15,2.14,0.0
20090926:0009,0.0,0.0,21.87,2.14,0.0
20090926:0109,0.0,0.0,21.54,1.98,0.0
20090926:0209,0.0,0.0,21.21,1.83,0.0
20090926:0309,0.0,0.0,20.87,1.67,0.0
20090926:0409,0.0,0.0,20.55,1.67,0.0
20090926:0509,0.0,0.0,20.23,1.67,0.0
20090926:0609,0.0,0.0,19.9,1.67,0.0
20090926:0709,11.35,9.95,20.86,1.82,0.0
20090926:0809,23.12,21.57,21.82,1.97,0.0
20090926:0909,37.42,32.44,22.78,2.12,0.0
20090926:1009,700.04,41.91,23.59,2.35,0.0
20090926:1109,265.22,48.87,24.4,2.57,0.0
20090926:1209,239.94,51.83,25.2,2.8,0.0
20090926:1309,95.05,49.89,25.05,2.63,0.0
20090926:1409,67.4,43.67,24.89,2.45,0.0
20090926:1509,71.06,34.63,24.74,2.28,0.0
20090926:1609,174.56,23.99,23.75,2.4,0.0
20090926:1709,345.91,12.49,22.76,2.53,0.0
20090926:1809,0.0,0.59,21.76,2.66,1.0
20090926:1909,0.0,0.0,21.19,2.09,0.0
20090926:2009,0.0,0.0,20.61,1.52,0.0
20090926:2109,0.0,0.0,20.04,0.95,0.0
20090926:2209,0.0,0.0,19.96,1.12,0.0
20090926:2309,0.0,0.0,19.88,1.28,0.0
20090927:0009,0.0,0.0,19.8,1.45,0.0
20090927:0109,0.0,0.0,19.85,1.46,0.0
20090927:0209,0.0,0.0,19.9,1.47,0.0
20090927:0309,0.0,0.0,19.94,1.48,0.0
20090927:0409,0.0,0.0,19.79,1.64,0.0
20090927:0509,0.0,0.0,19.64,1.8,0.0
20090927:0609,0.0,0.0,19.49,1.96,0.0
20090927:0709,280.85,9.78,20.51,1.95,0.0
20090927:0809,636.55,21.38,21.52,1.95,0.0
20090927:0909,989.46,32.22,22.53,1.94,0.0
20090927:1009,1056.4,41.64,23.58,2.32,0.0
20090927:1109,1081.57,48.53,24.63,2.69,0.0
20090927:1209,758.13,51.45,25.67,3.06,0.0
20090927:1309,1012.76,49.49,25.74,2.69,0.0
20090927:1409,1058.2,43.29,25.81,2.31,0.0
20090927:1509,895.12,34.28,25.88,1.93,0.0
20090927:1609,114.82,23.66,25.0,1.47,0.0
20090927:1709,131.09,12.18,24.12,1.0,0.0
20090927:1809,0.0,0.29,23.24,0.54,1.0
